Date,Open,High,Low,Close,Adj Close,Volume
2018-06-21,8.770000,8.840000,8.620000,8.640000,8.640000,1538800
2018-06-22,8.660000,8.710000,8.540000,8.590000,8.590000,2488000
2018-06-25,8.550000,8.600000,8.170000,8.230000,8.230000,2753300
2018-06-26,8.250000,8.430000,8.190000,8.210000,8.210000,2141900
2018-06-27,8.220000,8.260000,7.830000,7.830000,7.830000,2793700
2018-06-28,7.810000,8.200000,7.630000,7.890000,7.890000,5761200
2018-06-29,7.890000,8.050000,7.750000,7.960000,7.960000,2404900
2018-07-02,7.900000,8.420000,7.900000,8.410000,8.410000,1800000
2018-07-03,8.430000,8.490000,8.180000,8.370000,8.370000,1286000
2018-07-05,8.400000,8.490000,8.100000,8.310000,8.310000,1730400
2018-07-06,8.290000,8.600000,8.260000,8.570000,8.570000,1130200
2018-07-09,8.630000,8.640000,8.490000,8.610000,8.610000,990900
2018-07-10,8.650000,8.720000,8.570000,8.660000,8.660000,1401200
2018-07-11,8.590000,8.690000,8.480000,8.550000,8.550000,1711000
2018-07-12,8.640000,8.780000,8.580000,8.660000,8.660000,1547700
2018-07-13,8.690000,8.870000,8.460000,8.500000,8.500000,1734700
2018-07-16,8.500000,8.610000,8.410000,8.510000,8.510000,939700
2018-07-17,8.450000,8.640000,8.440000,8.630000,8.630000,629700
2018-07-18,8.600000,8.670000,8.570000,8.650000,8.650000,1525800
2018-07-19,8.640000,9.030000,8.600000,8.890000,8.890000,1433900
2018-07-20,8.850000,8.930000,8.740000,8.840000,8.840000,715000
